,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
1087,CORnet_S,transfer,classify,0.001,4,chair,4,both,184,211,0.8720379146919431,,,
1083,CORnet_S,transfer,classify,0.001,4,chair,5,both,100,127,0.7874015748031497,,,
1088,CORnet_S,transfer,classify,0.001,4,chair,6,both,68,84,0.8095238095238095,,,
1085,CORnet_S,transfer,classify,0.001,4,chair,7,both,47,56,0.8392857142857143,,,
1093,CORnet_S,transfer,classify,0.001,4,chair,8,both,38,43,0.8837209302325582,,,
1091,CORnet_S,transfer,classify,0.001,4,chair,9,both,24,27,0.8888888888888888,,,
599,CORnet_Z,transfer,classify,0.001,1,chair,1,both,1200,1233,0.97323600973236,,,
598,CORnet_Z,transfer,classify,0.001,1,chair,2,both,595,655,0.9083969465648856,,,
601,CORnet_Z,transfer,classify,0.001,1,chair,3,both,314,355,0.8845070422535212,,,
604,CORnet_Z,transfer,classify,0.001,1,chair,4,both,175,211,0.8293838862559242,,,
600,CORnet_Z,transfer,classify,0.001,1,chair,5,both,102,127,0.8031496062992126,,,
605,CORnet_Z,transfer,classify,0.001,1,chair,6,both,66,84,0.7857142857142857,,,
602,CORnet_Z,transfer,classify,0.001,1,chair,7,both,47,56,0.8392857142857143,,,
610,CORnet_Z,transfer,classify,0.001,1,chair,8,both,34,43,0.7906976744186046,,,
608,CORnet_Z,transfer,classify,0.001,1,chair,9,both,24,27,0.8888888888888888,,,
668,CORnet_Z,transfer,classify,0.001,2,chair,1,both,1201,1233,0.9740470397404704,,,
667,CORnet_Z,transfer,classify,0.001,2,chair,2,both,591,655,0.902290076335878,,,
670,CORnet_Z,transfer,classify,0.001,2,chair,3,both,314,355,0.8845070422535212,,,
673,CORnet_Z,transfer,classify,0.001,2,chair,4,both,174,211,0.8246445497630331,,,
669,CORnet_Z,transfer,classify,0.001,2,chair,5,both,102,127,0.8031496062992126,,,
674,CORnet_Z,transfer,classify,0.001,2,chair,6,both,66,84,0.7857142857142857,,,
671,CORnet_Z,transfer,classify,0.001,2,chair,7,both,44,56,0.7857142857142857,,,
679,CORnet_Z,transfer,classify,0.001,2,chair,8,both,34,43,0.7906976744186046,,,
677,CORnet_Z,transfer,classify,0.001,2,chair,9,both,23,27,0.8518518518518519,,,
737,CORnet_Z,transfer,classify,0.001,3,chair,1,both,1203,1233,0.975669099756691,,,
736,CORnet_Z,transfer,classify,0.001,3,chair,2,both,597,655,0.9114503816793892,,,
739,CORnet_Z,transfer,classify,0.001,3,chair,3,both,313,355,0.8816901408450705,,,
