net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,3,RVvGV,8,present,252,266,0.9473684210526315,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,both,521,532,0.9793233082706767,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,both,527,532,0.9906015037593985,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,both,518,532,0.9736842105263158,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,present,262,266,0.9849624060150376,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,present,204,266,0.7669172932330827,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,present,128,266,0.48120300751879697,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,absent,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,absent,251,266,0.943609022556391,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,absent,215,266,0.8082706766917294,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,both,525,532,0.9868421052631579,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,both,455,532,0.8552631578947368,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,both,343,532,0.6447368421052632,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,present,129,266,0.4849624060150376,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,present,124,266,0.46616541353383456,,,
