net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
VGG16,6,Bx_v_RxRo,100.0,87.5,0.0,12.5,12.5
VGG16,6,TvT,100.0,75.0,0.0,25.0,25.0
VGG16,7,RVvGV,100.0,80.0,0.0,20.0,20.0
VGG16,7,RVvRHGV,100.0,72.5,0.0,27.5,27.5
VGG16,7,PWVvCV,98.75,63.125,1.25,35.625,36.875
VGG16,7,PWVvPWHCV,100.0,66.875,0.0,33.125,33.125
VGG16,7,2_v_5,93.75,68.125,6.25,25.625,31.875
VGG16,7,YT_v_BTYL,100.0,86.25,0.0,13.75,13.75
VGG16,7,YT_v_BTBL,100.0,93.125,0.0,6.875,6.875
VGG16,7,Bx_v_RxBo,100.0,93.125,0.0,6.875,6.875
VGG16,7,Bx_v_RxRo,100.0,91.875,0.0,8.125,8.125
VGG16,7,TvT,100.0,78.125,0.0,21.875,21.875
VGG16,8,RVvGV,100.0,74.375,0.0,25.625,25.625
VGG16,8,RVvRHGV,100.0,70.0,0.0,30.0,30.0
VGG16,8,PWVvCV,97.5,60.62499999999999,2.5,36.87500000000001,39.37500000000001
VGG16,8,PWVvPWHCV,98.75,62.5,1.25,36.25,37.5
VGG16,8,2_v_5,80.625,63.125,19.375,17.5,36.875
VGG16,8,YT_v_BTYL,100.0,81.875,0.0,18.125,18.125
VGG16,8,YT_v_BTBL,100.0,89.375,0.0,10.625,10.625
VGG16,8,Bx_v_RxBo,100.0,93.75,0.0,6.25,6.25
VGG16,8,Bx_v_RxRo,100.0,88.125,0.0,11.875,11.875
VGG16,8,TvT,98.75,75.625,1.25,23.125,24.375
CORnet_Z,1,RVvGV,100.0,79.375,0.0,20.625,20.625
CORnet_Z,1,RVvRHGV,100.0,77.5,0.0,22.5,22.5
CORnet_Z,1,PWVvCV,96.875,58.12500000000001,3.125,38.74999999999999,41.87499999999999
CORnet_Z,1,PWVvPWHCV,98.75,68.125,1.25,30.625,31.875
CORnet_Z,1,2_v_5,70.625,61.25000000000001,29.375,9.374999999999993,38.74999999999999
CORnet_Z,1,YT_v_BTYL,98.75,74.375,1.25,24.375,25.625
CORnet_Z,1,YT_v_BTBL,99.375,83.75,0.625,15.625,16.25
CORnet_Z,1,Bx_v_RxBo,99.375,81.25,0.625,18.125,18.75
CORnet_Z,1,Bx_v_RxRo,100.0,86.875,0.0,13.125,13.125
CORnet_Z,1,TvT,100.0,71.25,0.0,28.75,28.75
CORnet_Z,2,RVvGV,100.0,78.75,0.0,21.25,21.25
CORnet_Z,2,RVvRHGV,100.0,73.75,0.0,26.25,26.25
CORnet_Z,2,PWVvCV,96.875,61.25000000000001,3.125,35.62499999999999,38.74999999999999
CORnet_Z,2,PWVvPWHCV,98.75,67.5,1.25,31.25,32.5
CORnet_Z,2,2_v_5,71.25,61.875,28.75,9.375,38.125
CORnet_Z,2,YT_v_BTYL,98.75,76.875,1.25,21.875,23.125
