net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
CORnet_S,3,RVvRHGV,90.78947368421053,71.42857142857143,9.210526315789465,19.360902255639104,28.57142857142857
CORnet_S,3,2_v_5,52.443609022556394,57.89473684210527,47.556390977443606,-5.451127819548873,42.10526315789473
CORnet_S,4,RVvGV,99.62406015037594,88.53383458646617,0.3759398496240607,11.090225563909769,11.46616541353383
CORnet_S,4,RVvRHGV,96.05263157894737,75.56390977443608,3.94736842105263,20.488721804511286,24.436090225563916
CORnet_S,4,2_v_5,51.31578947368421,55.82706766917293,48.68421052631579,-4.511278195488721,44.17293233082707
CORnet_S,5,RVvGV,99.62406015037594,88.7218045112782,0.3759398496240607,10.902255639097746,11.278195488721806
CORnet_S,5,RVvRHGV,93.23308270676691,72.18045112781954,6.766917293233092,21.05263157894737,27.819548872180462
CORnet_S,5,2_v_5,46.99248120300752,54.3233082706767,53.00751879699248,-7.330827067669176,45.6766917293233
CORnet_S,6,RVvGV,99.62406015037594,88.7218045112782,0.3759398496240607,10.902255639097746,11.278195488721806
CORnet_S,6,RVvRHGV,91.16541353383458,68.60902255639097,8.834586466165419,22.556390977443613,31.39097744360903
CORnet_S,6,2_v_5,47.93233082706767,55.639097744360896,52.06766917293233,-7.706766917293223,44.360902255639104
CORnet_S,7,RVvGV,95.48872180451127,80.6390977443609,4.511278195488728,14.849624060150376,19.360902255639104
CORnet_S,7,RVvRHGV,90.97744360902256,71.80451127819549,9.022556390977442,19.172932330827066,28.19548872180451
CORnet_S,7,2_v_5,53.94736842105263,56.954887218045116,46.05263157894737,-3.0075187969924855,43.045112781954884
CORnet_S,8,RVvGV,98.68421052631578,88.53383458646617,1.3157894736842195,10.15037593984961,11.46616541353383
CORnet_S,8,RVvRHGV,96.42857142857143,75.37593984962406,3.5714285714285694,21.05263157894737,24.62406015037594
CORnet_S,8,2_v_5,51.8796992481203,55.26315789473685,48.1203007518797,-3.383458646616546,44.73684210526315
