net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
CORnet_Z,2,2_v_5,0.5075187969924813,0.5620300751879699,-0.05451127819548862
CORnet_Z,3,RVvGV,1.0,0.9135338345864662,0.0864661654135338
CORnet_Z,3,RVvRHGV,0.9492481203007519,0.7556390977443609,0.193609022556391
CORnet_Z,3,2_v_5,0.5093984962406015,0.556390977443609,-0.046992481203007475
CORnet_Z,4,RVvGV,1.0,0.9210526315789473,0.07894736842105265
CORnet_Z,4,RVvRHGV,0.9624060150375939,0.7857142857142857,0.17669172932330823
CORnet_Z,4,2_v_5,0.5150375939849624,0.5695488721804511,-0.05451127819548873
CORnet_Z,5,RVvGV,1.0,0.9191729323308271,0.08082706766917291
CORnet_Z,5,RVvRHGV,0.9548872180451128,0.7819548872180451,0.17293233082706772
CORnet_Z,5,2_v_5,0.5150375939849624,0.5676691729323309,-0.052631578947368474
CORnet_Z,6,RVvGV,1.0,0.9210526315789473,0.07894736842105265
CORnet_Z,6,RVvRHGV,0.943609022556391,0.7575187969924813,0.18609022556390975
CORnet_Z,6,2_v_5,0.5093984962406015,0.5601503759398496,-0.050751879699248104
CORnet_Z,7,RVvGV,1.0,0.8627819548872181,0.1372180451127819
CORnet_Z,7,RVvRHGV,0.9304511278195489,0.7406015037593985,0.18984962406015038
CORnet_Z,7,2_v_5,0.5037593984962406,0.5488721804511278,-0.045112781954887216
CORnet_Z,8,RVvGV,1.0,0.9097744360902256,0.09022556390977443
CORnet_Z,8,RVvRHGV,0.9511278195488722,0.7725563909774437,0.1785714285714285
CORnet_Z,8,2_v_5,0.5093984962406015,0.5582706766917294,-0.048872180451127845
CORnet_S,1,RVvGV,0.9887218045112782,0.868421052631579,0.12030075187969924
CORnet_S,1,RVvRHGV,0.9548872180451128,0.7518796992481203,0.20300751879699253
CORnet_S,1,2_v_5,0.5131578947368421,0.5526315789473685,-0.03947368421052633
CORnet_S,2,RVvGV,0.9285714285714286,0.7988721804511278,0.12969924812030076
CORnet_S,2,RVvRHGV,0.8909774436090225,0.7048872180451128,0.18609022556390975
CORnet_S,2,2_v_5,0.5169172932330827,0.5582706766917294,-0.0413533834586467
CORnet_S,3,RVvGV,0.9586466165413534,0.8120300751879699,0.14661654135338353
CORnet_S,3,RVvRHGV,0.9078947368421053,0.7142857142857143,0.193609022556391
CORnet_S,3,2_v_5,0.5244360902255639,0.5789473684210527,-0.05451127819548873
CORnet_S,4,RVvGV,0.9962406015037594,0.8853383458646616,0.11090225563909772
CORnet_S,4,RVvRHGV,0.9605263157894737,0.7556390977443609,0.20488721804511278
CORnet_S,4,2_v_5,0.5131578947368421,0.5582706766917294,-0.045112781954887216
CORnet_S,5,RVvGV,0.9962406015037594,0.8872180451127819,0.10902255639097747
CORnet_S,5,RVvRHGV,0.9323308270676691,0.7218045112781954,0.21052631578947367
CORnet_S,5,2_v_5,0.4699248120300752,0.543233082706767,-0.07330827067669177
CORnet_S,6,RVvGV,0.9962406015037594,0.8872180451127819,0.10902255639097747
CORnet_S,6,RVvRHGV,0.9116541353383458,0.6860902255639098,0.22556390977443608
CORnet_S,6,2_v_5,0.4793233082706767,0.556390977443609,-0.07706766917293228
CORnet_S,7,RVvGV,0.9548872180451128,0.806390977443609,0.1484962406015038
CORnet_S,7,RVvRHGV,0.9097744360902256,0.7180451127819549,0.19172932330827064
CORnet_S,7,2_v_5,0.5394736842105263,0.5695488721804511,-0.03007518796992481
CORnet_S,8,RVvGV,0.9868421052631579,0.8853383458646616,0.10150375939849621
CORnet_S,8,RVvRHGV,0.9642857142857143,0.7537593984962406,0.21052631578947367
CORnet_S,8,2_v_5,0.518796992481203,0.5526315789473685,-0.03383458646616544
