net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,2,YT_v_BTBL,2,both,0.5625,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,4,both,0.6,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,8,both,0.5625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,1,present,0.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,2,present,0.1625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,4,present,0.3375,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,8,present,0.8125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,2,absent,0.8625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,4,absent,0.675,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,8,absent,0.175,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,1,both,0.5,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,2,both,0.5125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,4,both,0.50625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,8,both,0.49375,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,1,present,0.0125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,2,present,0.0875,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,4,present,0.225,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,8,present,0.7625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,2,absent,0.9375,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,4,absent,0.6875,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,8,absent,0.2,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,1,both,0.50625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,2,both,0.5125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,4,both,0.45625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,8,both,0.48125,,,
alexnet,transfer,classify,0.001,2,TvT,1,present,0.175,,,
alexnet,transfer,classify,0.001,2,TvT,2,present,0.5,,,
alexnet,transfer,classify,0.001,2,TvT,4,present,0.8625,,,
alexnet,transfer,classify,0.001,2,TvT,8,present,0.95,,,
alexnet,transfer,classify,0.001,2,TvT,1,absent,0.825,,,
alexnet,transfer,classify,0.001,2,TvT,2,absent,0.4875,,,
alexnet,transfer,classify,0.001,2,TvT,4,absent,0.1875,,,
alexnet,transfer,classify,0.001,2,TvT,8,absent,0.0,,,
alexnet,transfer,classify,0.001,2,TvT,1,both,0.5,,,
alexnet,transfer,classify,0.001,2,TvT,2,both,0.49375,,,
alexnet,transfer,classify,0.001,2,TvT,4,both,0.525,,,
alexnet,transfer,classify,0.001,2,TvT,8,both,0.475,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,present,0.2375,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,present,0.65,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,present,0.9375,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,present,0.9875,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,absent,0.8875,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,absent,0.55,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,absent,0.0875,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,absent,0.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,both,0.5625,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,both,0.6,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,both,0.5125,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,both,0.49375,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,present,0.2125,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,present,0.55,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,present,0.9125,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,absent,0.8875,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,absent,0.525,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,absent,0.1,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,absent,0.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,both,0.55,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,both,0.5375,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,both,0.50625,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,both,0.5,,,
alexnet,transfer,classify,0.001,3,PWVvCV,1,present,0.35,,,
alexnet,transfer,classify,0.001,3,PWVvCV,2,present,0.825,,,
alexnet,transfer,classify,0.001,3,PWVvCV,4,present,0.9875,,,
alexnet,transfer,classify,0.001,3,PWVvCV,8,present,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvCV,1,absent,0.65,,,
alexnet,transfer,classify,0.001,3,PWVvCV,2,absent,0.2875,,,
alexnet,transfer,classify,0.001,3,PWVvCV,4,absent,0.025,,,
alexnet,transfer,classify,0.001,3,PWVvCV,8,absent,0.0,,,
