net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
VGG16,3,RVvGV,100.0,84.21052631578947,0.0,15.789473684210535,15.789473684210535
VGG16,3,RVvRHGV,100.0,78.7593984962406,0.0,21.240601503759393,21.240601503759393
VGG16,3,2_v_5,100.0,64.47368421052632,0.0,35.526315789473685,35.526315789473685
VGG16,4,RVvGV,66.16541353383458,50.56390977443609,33.83458646616542,15.60150375939849,49.43609022556391
VGG16,4,RVvRHGV,61.8421052631579,54.3233082706767,38.1578947368421,7.5187969924811995,45.6766917293233
VGG16,4,2_v_5,54.51127819548872,49.24812030075188,45.48872180451128,5.2631578947368425,50.75187969924812
VGG16,5,RVvGV,68.796992481203,50.93984962406015,31.203007518796994,17.857142857142854,49.06015037593985
VGG16,5,RVvRHGV,65.22556390977444,53.57142857142857,34.774436090225564,11.654135338345867,46.42857142857143
VGG16,5,2_v_5,51.691729323308266,47.556390977443606,48.308270676691734,4.13533834586466,52.443609022556394
VGG16,6,RVvGV,67.66917293233082,50.75187969924813,32.330827067669176,16.917293233082695,49.24812030075187
VGG16,6,RVvRHGV,63.90977443609023,53.00751879699248,36.09022556390977,10.902255639097753,46.99248120300752
VGG16,6,2_v_5,53.57142857142857,48.68421052631579,46.42857142857143,4.887218045112782,51.31578947368421
VGG16,7,RVvGV,77.25563909774436,50.37593984962406,22.744360902255636,26.879699248120303,49.62406015037594
VGG16,7,RVvRHGV,69.92481203007519,52.819548872180455,30.075187969924812,17.105263157894733,47.180451127819545
VGG16,7,2_v_5,54.88721804511278,48.87218045112782,45.11278195488722,6.015037593984964,51.12781954887218
VGG16,8,RVvGV,100.0,85.90225563909775,0.0,14.097744360902254,14.097744360902254
VGG16,8,RVvRHGV,100.0,79.13533834586465,0.0,20.864661654135347,20.864661654135347
VGG16,8,2_v_5,99.81203007518798,62.96992481203007,0.18796992481202324,36.842105263157904,37.03007518796993
CORnet_Z,1,RVvGV,92.85714285714286,50.0,7.142857142857139,42.85714285714286,50.0
CORnet_Z,1,RVvRHGV,72.36842105263158,50.0,27.631578947368425,22.368421052631575,50.0
CORnet_Z,1,2_v_5,93.60902255639097,64.84962406015038,6.390977443609032,28.759398496240593,35.150375939849624
CORnet_Z,2,RVvGV,81.95488721804512,50.0,18.045112781954884,31.954887218045116,50.0
CORnet_Z,2,RVvRHGV,66.9172932330827,50.0,33.0827067669173,16.917293233082702,50.0
CORnet_Z,2,2_v_5,89.09774436090225,58.27067669172933,10.902255639097746,30.827067669172926,41.72932330827067
CORnet_Z,3,RVvGV,92.10526315789474,50.0,7.89473684210526,42.10526315789474,50.0
CORnet_Z,3,RVvRHGV,70.11278195488721,50.0,29.88721804511279,20.11278195488721,50.0
CORnet_Z,3,2_v_5,85.71428571428571,54.51127819548872,14.285714285714292,31.203007518796987,45.48872180451128
CORnet_Z,4,RVvGV,68.98496240601504,50.0,31.015037593984957,18.984962406015043,50.0
CORnet_Z,4,RVvRHGV,59.962406015037594,50.0,40.037593984962406,9.962406015037594,50.0
CORnet_Z,4,2_v_5,84.02255639097744,62.78195488721805,15.977443609022558,21.240601503759393,37.21804511278195
CORnet_Z,5,RVvGV,51.31578947368421,50.0,48.68421052631579,1.3157894736842124,50.0
CORnet_Z,5,RVvRHGV,50.93984962406015,50.0,49.06015037593985,0.9398496240601517,50.0
CORnet_Z,5,2_v_5,76.50375939849624,62.78195488721805,23.496240601503757,13.721804511278194,37.21804511278195
CORnet_Z,6,RVvGV,80.6390977443609,50.0,19.360902255639104,30.639097744360896,50.0
CORnet_Z,6,RVvRHGV,68.98496240601504,50.0,31.015037593984957,18.984962406015043,50.0
CORnet_Z,6,2_v_5,90.97744360902256,59.3984962406015,9.022556390977442,31.578947368421055,40.6015037593985
CORnet_Z,7,RVvGV,77.06766917293233,50.0,22.932330827067673,27.067669172932327,50.0
CORnet_Z,7,RVvRHGV,64.47368421052632,50.0,35.526315789473685,14.473684210526315,50.0
CORnet_Z,7,2_v_5,77.25563909774436,64.09774436090225,22.744360902255636,13.15789473684211,35.902255639097746
CORnet_Z,8,RVvGV,73.87218045112782,50.0,26.127819548872182,23.872180451127818,50.0
CORnet_Z,8,RVvRHGV,61.46616541353384,50.0,38.53383458646616,11.466165413533837,50.0
CORnet_Z,8,2_v_5,86.46616541353383,58.08270676691729,13.53383458646617,28.38345864661654,41.91729323308271
