net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
CORnet_S,4,RVvGV,0.9906015037593985,0.7030075187969925,0.28759398496240596
CORnet_S,4,RVvRHGV,0.8909774436090225,0.6015037593984962,0.2894736842105263
CORnet_S,4,2_v_5,0.5375939849624061,0.5714285714285714,-0.03383458646616533
CORnet_S,5,RVvGV,0.9906015037593985,0.7048872180451128,0.2857142857142857
CORnet_S,5,RVvRHGV,0.8834586466165414,0.5958646616541353,0.28759398496240607
CORnet_S,5,2_v_5,0.5244360902255639,0.5526315789473685,-0.02819548872180455
CORnet_S,6,RVvGV,0.9887218045112782,0.7011278195488722,0.28759398496240607
CORnet_S,6,RVvRHGV,0.9060150375939849,0.6221804511278195,0.28383458646616544
CORnet_S,6,2_v_5,0.5526315789473685,0.5676691729323309,-0.015037593984962405
CORnet_S,7,RVvGV,0.9924812030075187,0.7406015037593985,0.25187969924812026
CORnet_S,7,RVvRHGV,0.9060150375939849,0.6090225563909775,0.2969924812030075
CORnet_S,7,2_v_5,0.5469924812030075,0.5413533834586466,0.005639097744360888
CORnet_S,8,RVvGV,0.9605263157894737,0.6578947368421053,0.30263157894736836
CORnet_S,8,RVvRHGV,0.881578947368421,0.5921052631578947,0.2894736842105263
CORnet_S,8,2_v_5,0.5225563909774437,0.5300751879699248,-0.007518796992481147
