,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,greenness,discrim_pct
2662,alexnet,transfer,classify,0.001,2,RVvGV_116,4,both,510,512,0.99609375,,,,search stimuli (classify),0,116,0.5450980392156863
2663,alexnet,transfer,classify,0.001,2,RVvGV_116,8,both,507,512,0.990234375,,,,search stimuli (classify),0,116,0.5450980392156863
2672,alexnet,transfer,classify,0.001,2,RVvGV_139,1,both,317,512,0.619140625,,,,search stimuli (classify),0,139,0.4549019607843138
2673,alexnet,transfer,classify,0.001,2,RVvGV_139,2,both,449,512,0.876953125,,,,search stimuli (classify),0,139,0.4549019607843138
2674,alexnet,transfer,classify,0.001,2,RVvGV_139,4,both,441,512,0.861328125,,,,search stimuli (classify),0,139,0.4549019607843138
2675,alexnet,transfer,classify,0.001,2,RVvGV_139,8,both,448,512,0.875,,,,search stimuli (classify),0,139,0.4549019607843138
2684,alexnet,transfer,classify,0.001,2,RVvGV_162,1,both,282,512,0.55078125,,,,search stimuli (classify),0,162,0.3647058823529412
2685,alexnet,transfer,classify,0.001,2,RVvGV_162,2,both,332,512,0.6484375,,,,search stimuli (classify),0,162,0.3647058823529412
2686,alexnet,transfer,classify,0.001,2,RVvGV_162,4,both,334,512,0.65234375,,,,search stimuli (classify),0,162,0.3647058823529412
2687,alexnet,transfer,classify,0.001,2,RVvGV_162,8,both,321,512,0.626953125,,,,search stimuli (classify),0,162,0.3647058823529412
2696,alexnet,transfer,classify,0.001,2,RVvGV_185,1,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2697,alexnet,transfer,classify,0.001,2,RVvGV_185,2,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2698,alexnet,transfer,classify,0.001,2,RVvGV_185,4,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2699,alexnet,transfer,classify,0.001,2,RVvGV_185,8,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2708,alexnet,transfer,classify,0.001,2,RVvGV_209,1,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2709,alexnet,transfer,classify,0.001,2,RVvGV_209,2,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2710,alexnet,transfer,classify,0.001,2,RVvGV_209,4,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2711,alexnet,transfer,classify,0.001,2,RVvGV_209,8,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2720,alexnet,transfer,classify,0.001,2,RVvGV_232,1,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2721,alexnet,transfer,classify,0.001,2,RVvGV_232,2,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2722,alexnet,transfer,classify,0.001,2,RVvGV_232,4,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2723,alexnet,transfer,classify,0.001,2,RVvGV_232,8,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2732,alexnet,transfer,classify,0.001,2,RVvGV_255,1,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2733,alexnet,transfer,classify,0.001,2,RVvGV_255,2,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2734,alexnet,transfer,classify,0.001,2,RVvGV_255,4,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2735,alexnet,transfer,classify,0.001,2,RVvGV_255,8,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2888,alexnet,transfer,classify,0.001,3,RVvGV_0,1,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2889,alexnet,transfer,classify,0.001,3,RVvGV_0,2,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2890,alexnet,transfer,classify,0.001,3,RVvGV_0,4,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2891,alexnet,transfer,classify,0.001,3,RVvGV_0,8,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2900,alexnet,transfer,classify,0.001,3,RVvGV_23,1,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2901,alexnet,transfer,classify,0.001,3,RVvGV_23,2,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2902,alexnet,transfer,classify,0.001,3,RVvGV_23,4,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2903,alexnet,transfer,classify,0.001,3,RVvGV_23,8,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2912,alexnet,transfer,classify,0.001,3,RVvGV_46,1,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2913,alexnet,transfer,classify,0.001,3,RVvGV_46,2,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2914,alexnet,transfer,classify,0.001,3,RVvGV_46,4,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2915,alexnet,transfer,classify,0.001,3,RVvGV_46,8,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2924,alexnet,transfer,classify,0.001,3,RVvGV_70,1,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2925,alexnet,transfer,classify,0.001,3,RVvGV_70,2,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2926,alexnet,transfer,classify,0.001,3,RVvGV_70,4,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2927,alexnet,transfer,classify,0.001,3,RVvGV_70,8,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
