,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,rotation,discrim_pct
740,alexnet,initialize,classify,0.001,3,TvT_8,1,both,261,512,0.509765625,,,,None,0,8,0.08888888888888889
741,alexnet,initialize,classify,0.001,3,TvT_8,2,both,265,512,0.517578125,,,,None,0,8,0.08888888888888889
742,alexnet,initialize,classify,0.001,3,TvT_8,4,both,239,512,0.466796875,,,,None,0,8,0.08888888888888889
743,alexnet,initialize,classify,0.001,3,TvT_8,8,both,257,512,0.501953125,,,,None,0,8,0.08888888888888889
752,alexnet,initialize,classify,0.001,3,TvT_16,1,both,275,512,0.537109375,,,,None,0,16,0.17777777777777778
753,alexnet,initialize,classify,0.001,3,TvT_16,2,both,253,512,0.494140625,,,,None,0,16,0.17777777777777778
754,alexnet,initialize,classify,0.001,3,TvT_16,4,both,254,512,0.49609375,,,,None,0,16,0.17777777777777778
755,alexnet,initialize,classify,0.001,3,TvT_16,8,both,256,512,0.5,,,,None,0,16,0.17777777777777778
764,alexnet,initialize,classify,0.001,3,TvT_25,1,both,268,512,0.5234375,,,,None,0,25,0.2777777777777778
765,alexnet,initialize,classify,0.001,3,TvT_25,2,both,259,512,0.505859375,,,,None,0,25,0.2777777777777778
766,alexnet,initialize,classify,0.001,3,TvT_25,4,both,259,512,0.505859375,,,,None,0,25,0.2777777777777778
767,alexnet,initialize,classify,0.001,3,TvT_25,8,both,256,512,0.5,,,,None,0,25,0.2777777777777778
776,alexnet,initialize,classify,0.001,3,TvT_33,1,both,268,512,0.5234375,,,,None,0,33,0.36666666666666664
777,alexnet,initialize,classify,0.001,3,TvT_33,2,both,269,512,0.525390625,,,,None,0,33,0.36666666666666664
778,alexnet,initialize,classify,0.001,3,TvT_33,4,both,252,512,0.4921875,,,,None,0,33,0.36666666666666664
779,alexnet,initialize,classify,0.001,3,TvT_33,8,both,252,512,0.4921875,,,,None,0,33,0.36666666666666664
788,alexnet,initialize,classify,0.001,3,TvT_41,1,both,269,512,0.525390625,,,,None,0,41,0.45555555555555555
789,alexnet,initialize,classify,0.001,3,TvT_41,2,both,267,512,0.521484375,,,,None,0,41,0.45555555555555555
790,alexnet,initialize,classify,0.001,3,TvT_41,4,both,253,512,0.494140625,,,,None,0,41,0.45555555555555555
791,alexnet,initialize,classify,0.001,3,TvT_41,8,both,257,512,0.501953125,,,,None,0,41,0.45555555555555555
800,alexnet,initialize,classify,0.001,3,TvT_49,1,both,274,512,0.53515625,,,,None,0,49,0.5444444444444444
801,alexnet,initialize,classify,0.001,3,TvT_49,2,both,267,512,0.521484375,,,,None,0,49,0.5444444444444444
802,alexnet,initialize,classify,0.001,3,TvT_49,4,both,271,512,0.529296875,,,,None,0,49,0.5444444444444444
803,alexnet,initialize,classify,0.001,3,TvT_49,8,both,258,512,0.50390625,,,,None,0,49,0.5444444444444444
812,alexnet,initialize,classify,0.001,3,TvT_57,1,both,280,512,0.546875,,,,None,0,57,0.6333333333333333
813,alexnet,initialize,classify,0.001,3,TvT_57,2,both,267,512,0.521484375,,,,None,0,57,0.6333333333333333
814,alexnet,initialize,classify,0.001,3,TvT_57,4,both,255,512,0.498046875,,,,None,0,57,0.6333333333333333
815,alexnet,initialize,classify,0.001,3,TvT_57,8,both,256,512,0.5,,,,None,0,57,0.6333333333333333
824,alexnet,initialize,classify,0.001,3,TvT_65,1,both,277,512,0.541015625,,,,None,0,65,0.7222222222222222
825,alexnet,initialize,classify,0.001,3,TvT_65,2,both,271,512,0.529296875,,,,None,0,65,0.7222222222222222
826,alexnet,initialize,classify,0.001,3,TvT_65,4,both,260,512,0.5078125,,,,None,0,65,0.7222222222222222
827,alexnet,initialize,classify,0.001,3,TvT_65,8,both,258,512,0.50390625,,,,None,0,65,0.7222222222222222
836,alexnet,initialize,classify,0.001,3,TvT_74,1,both,283,512,0.552734375,,,,None,0,74,0.8222222222222222
837,alexnet,initialize,classify,0.001,3,TvT_74,2,both,279,512,0.544921875,,,,None,0,74,0.8222222222222222
838,alexnet,initialize,classify,0.001,3,TvT_74,4,both,272,512,0.53125,,,,None,0,74,0.8222222222222222
839,alexnet,initialize,classify,0.001,3,TvT_74,8,both,258,512,0.50390625,,,,None,0,74,0.8222222222222222
848,alexnet,initialize,classify,0.001,3,TvT_82,1,both,283,512,0.552734375,,,,None,0,82,0.9111111111111111
849,alexnet,initialize,classify,0.001,3,TvT_82,2,both,274,512,0.53515625,,,,None,0,82,0.9111111111111111
850,alexnet,initialize,classify,0.001,3,TvT_82,4,both,259,512,0.505859375,,,,None,0,82,0.9111111111111111
851,alexnet,initialize,classify,0.001,3,TvT_82,8,both,256,512,0.5,,,,None,0,82,0.9111111111111111
860,alexnet,initialize,classify,0.001,3,TvT_90,1,both,284,512,0.5546875,,,,None,0,90,1.0
861,alexnet,initialize,classify,0.001,3,TvT_90,2,both,266,512,0.51953125,,,,None,0,90,1.0
862,alexnet,initialize,classify,0.001,3,TvT_90,4,both,247,512,0.482421875,,,,None,0,90,1.0
863,alexnet,initialize,classify,0.001,3,TvT_90,8,both,255,512,0.498046875,,,,None,0,90,1.0
1016,alexnet,initialize,classify,0.001,4,TvT_4,1,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1017,alexnet,initialize,classify,0.001,4,TvT_4,2,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1018,alexnet,initialize,classify,0.001,4,TvT_4,4,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1019,alexnet,initialize,classify,0.001,4,TvT_4,8,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1028,alexnet,initialize,classify,0.001,4,TvT_8,1,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1029,alexnet,initialize,classify,0.001,4,TvT_8,2,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1030,alexnet,initialize,classify,0.001,4,TvT_8,4,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1031,alexnet,initialize,classify,0.001,4,TvT_8,8,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1040,alexnet,initialize,classify,0.001,4,TvT_16,1,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1041,alexnet,initialize,classify,0.001,4,TvT_16,2,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1042,alexnet,initialize,classify,0.001,4,TvT_16,4,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1043,alexnet,initialize,classify,0.001,4,TvT_16,8,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1052,alexnet,initialize,classify,0.001,4,TvT_25,1,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1053,alexnet,initialize,classify,0.001,4,TvT_25,2,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1054,alexnet,initialize,classify,0.001,4,TvT_25,4,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1055,alexnet,initialize,classify,0.001,4,TvT_25,8,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1064,alexnet,initialize,classify,0.001,4,TvT_33,1,both,282,512,0.55078125,,,,None,0,33,0.36666666666666664
1065,alexnet,initialize,classify,0.001,4,TvT_33,2,both,279,512,0.544921875,,,,None,0,33,0.36666666666666664
1066,alexnet,initialize,classify,0.001,4,TvT_33,4,both,276,512,0.5390625,,,,None,0,33,0.36666666666666664
1067,alexnet,initialize,classify,0.001,4,TvT_33,8,both,265,512,0.517578125,,,,None,0,33,0.36666666666666664
1076,alexnet,initialize,classify,0.001,4,TvT_41,1,both,352,512,0.6875,,,,None,0,41,0.45555555555555555
1077,alexnet,initialize,classify,0.001,4,TvT_41,2,both,328,512,0.640625,,,,None,0,41,0.45555555555555555
1078,alexnet,initialize,classify,0.001,4,TvT_41,4,both,319,512,0.623046875,,,,None,0,41,0.45555555555555555
1079,alexnet,initialize,classify,0.001,4,TvT_41,8,both,294,512,0.57421875,,,,None,0,41,0.45555555555555555
1088,alexnet,initialize,classify,0.001,4,TvT_49,1,both,415,512,0.810546875,,,,None,0,49,0.5444444444444444
1089,alexnet,initialize,classify,0.001,4,TvT_49,2,both,401,512,0.783203125,,,,None,0,49,0.5444444444444444
1090,alexnet,initialize,classify,0.001,4,TvT_49,4,both,393,512,0.767578125,,,,None,0,49,0.5444444444444444
1091,alexnet,initialize,classify,0.001,4,TvT_49,8,both,358,512,0.69921875,,,,None,0,49,0.5444444444444444
1100,alexnet,initialize,classify,0.001,4,TvT_57,1,both,496,512,0.96875,,,,None,0,57,0.6333333333333333
1101,alexnet,initialize,classify,0.001,4,TvT_57,2,both,491,512,0.958984375,,,,None,0,57,0.6333333333333333
1102,alexnet,initialize,classify,0.001,4,TvT_57,4,both,474,512,0.92578125,,,,None,0,57,0.6333333333333333
1103,alexnet,initialize,classify,0.001,4,TvT_57,8,both,437,512,0.853515625,,,,None,0,57,0.6333333333333333
1112,alexnet,initialize,classify,0.001,4,TvT_65,1,both,512,512,1.0,,,,None,0,65,0.7222222222222222
1113,alexnet,initialize,classify,0.001,4,TvT_65,2,both,512,512,1.0,,,,None,0,65,0.7222222222222222
