method,mode,loss_func,net_name,replicate,vsd_score_bin,acc,n_trials,pred
transfer,classify,CE-largest,CORnet_Z,3,4.0,0.0,4,0.040538191389301925
transfer,classify,CE-random,CORnet_Z,3,0.0,0.6154919748778785,1433,0.599937728187546
transfer,classify,CE-random,CORnet_Z,3,1.0,0.5072463768115942,276,0.5099093659293868
transfer,classify,CE-random,CORnet_Z,3,2.0,0.56,25,0.4198810036712278
transfer,classify,CE-random,CORnet_Z,3,3.0,0.16666666666666666,6,0.32985264141306875
transfer,classify,CE-random,CORnet_Z,3,4.0,0.25,4,0.23982427915490967
initialize,classify,CE-largest,CORnet_Z,4,0.0,0.5163991625959525,1433,0.5574284312833115
initialize,classify,CE-largest,CORnet_Z,4,1.0,0.4057971014492754,276,0.4482671753795119
initialize,classify,CE-largest,CORnet_Z,4,2.0,0.44,25,0.3391059194757122
initialize,classify,CE-largest,CORnet_Z,4,3.0,0.3333333333333333,6,0.22994466357191257
initialize,classify,CE-largest,CORnet_Z,4,4.0,0.0,4,0.12078340766811291
transfer,classify,CE-largest,CORnet_Z,4,0.0,0.5994417306350314,1433,0.6477870409700941
transfer,classify,CE-largest,CORnet_Z,4,1.0,0.4746376811594203,276,0.4999681283311589
transfer,classify,CE-largest,CORnet_Z,4,2.0,0.52,25,0.3521492156922237
transfer,classify,CE-largest,CORnet_Z,4,3.0,0.16666666666666666,6,0.20433030305328848
transfer,classify,CE-largest,CORnet_Z,4,4.0,0.0,4,0.05651139041435327
transfer,classify,CE-random,CORnet_Z,4,0.0,0.6245638520586183,1433,0.6654622485512305
transfer,classify,CE-random,CORnet_Z,4,1.0,0.4891304347826087,276,0.5754338862930715
transfer,classify,CE-random,CORnet_Z,4,2.0,0.48,25,0.48540552403491233
transfer,classify,CE-random,CORnet_Z,4,3.0,0.3333333333333333,6,0.3953771617767533
transfer,classify,CE-random,CORnet_Z,4,4.0,0.5,4,0.3053487995185942
initialize,classify,CE-largest,CORnet_Z,5,0.0,0.5010467550593162,1433,0.5369376599209119
initialize,classify,CE-largest,CORnet_Z,5,1.0,0.358695652173913,276,0.42777640401711226
initialize,classify,CE-largest,CORnet_Z,5,2.0,0.4,25,0.3186151481133126
initialize,classify,CE-largest,CORnet_Z,5,3.0,0.3333333333333333,6,0.20945389220951294
initialize,classify,CE-largest,CORnet_Z,5,4.0,0.0,4,0.10029263630571328
transfer,classify,CE-largest,CORnet_Z,5,0.0,0.6378227494766224,1433,0.6438110708253689
transfer,classify,CE-largest,CORnet_Z,5,1.0,0.4963768115942029,276,0.4959921581864337
transfer,classify,CE-largest,CORnet_Z,5,2.0,0.44,25,0.3481732455474985
transfer,classify,CE-largest,CORnet_Z,5,3.0,0.16666666666666666,6,0.2003543329085633
transfer,classify,CE-largest,CORnet_Z,5,4.0,0.0,4,0.0525354202696281
transfer,classify,CE-random,CORnet_Z,5,0.0,0.5910676901605024,1433,0.5218064944324767
transfer,classify,CE-random,CORnet_Z,5,1.0,0.47101449275362317,276,0.43177813217431765
transfer,classify,CE-random,CORnet_Z,5,2.0,0.48,25,0.3417497699161586
transfer,classify,CE-random,CORnet_Z,5,3.0,0.16666666666666666,6,0.25172140765799955
transfer,classify,CE-random,CORnet_Z,5,4.0,0.0,4,0.16169304539984042
initialize,classify,CE-largest,CORnet_Z,6,0.0,0.5233775296580601,1433,0.5167661336812404
initialize,classify,CE-largest,CORnet_Z,6,1.0,0.40217391304347827,276,0.4076048777774407
initialize,classify,CE-largest,CORnet_Z,6,2.0,0.4,25,0.29844362187364104
initialize,classify,CE-largest,CORnet_Z,6,3.0,0.16666666666666666,6,0.18928236596984138
initialize,classify,CE-largest,CORnet_Z,6,4.0,0.0,4,0.08012111006604172
transfer,classify,CE-largest,CORnet_Z,6,0.0,0.6238660153524075,1433,0.642497984870091
transfer,classify,CE-largest,CORnet_Z,6,1.0,0.463768115942029,276,0.4946790722311558
transfer,classify,CE-largest,CORnet_Z,6,2.0,0.48,25,0.3468601595922206
transfer,classify,CE-largest,CORnet_Z,6,3.0,0.16666666666666666,6,0.1990412469532854
transfer,classify,CE-largest,CORnet_Z,6,4.0,0.0,4,0.05122233431435019
transfer,classify,CE-random,CORnet_Z,6,0.0,0.5819958129797628,1433,0.6134993653731404
transfer,classify,CE-random,CORnet_Z,6,1.0,0.48188405797101447,276,0.5234710031149814
transfer,classify,CE-random,CORnet_Z,6,2.0,0.52,25,0.43344264085682227
transfer,classify,CE-random,CORnet_Z,6,3.0,0.3333333333333333,6,0.34341427859866325
transfer,classify,CE-random,CORnet_Z,6,4.0,0.25,4,0.25338591634050417
initialize,classify,CE-largest,CORnet_Z,7,0.0,0.5003489183531054,1433,0.535348817217351
initialize,classify,CE-largest,CORnet_Z,7,1.0,0.35144927536231885,276,0.4261875613135513
initialize,classify,CE-largest,CORnet_Z,7,2.0,0.4,25,0.31702630540975163
initialize,classify,CE-largest,CORnet_Z,7,3.0,0.3333333333333333,6,0.20786504950595197
initialize,classify,CE-largest,CORnet_Z,7,4.0,0.0,4,0.09870379360215231
transfer,classify,CE-largest,CORnet_Z,7,0.0,0.6133984647592463,1433,0.6534769385195748
transfer,classify,CE-largest,CORnet_Z,7,1.0,0.4891304347826087,276,0.5056580258806396
transfer,classify,CE-largest,CORnet_Z,7,2.0,0.52,25,0.35783911324170437
transfer,classify,CE-largest,CORnet_Z,7,3.0,0.16666666666666666,6,0.21002020060276916
transfer,classify,CE-largest,CORnet_Z,7,4.0,0.0,4,0.06220128796383395
transfer,classify,CE-random,CORnet_Z,7,0.0,0.6231681786461968,1433,0.5948932587962823
transfer,classify,CE-random,CORnet_Z,7,1.0,0.47101449275362317,276,0.5048648965381233
transfer,classify,CE-random,CORnet_Z,7,2.0,0.48,25,0.41483653427996425
transfer,classify,CE-random,CORnet_Z,7,3.0,0.5,6,0.3248081720218052
transfer,classify,CE-random,CORnet_Z,7,4.0,0.0,4,0.2347798097636461
initialize,classify,CE-largest,CORnet_Z,8,0.0,0.44312630844382417,1433,0.5137303821920163
initialize,classify,CE-largest,CORnet_Z,8,1.0,0.34057971014492755,276,0.4045691262882166
initialize,classify,CE-largest,CORnet_Z,8,2.0,0.36,25,0.29540787038441696
initialize,classify,CE-largest,CORnet_Z,8,3.0,0.3333333333333333,6,0.1862466144806173
initialize,classify,CE-largest,CORnet_Z,8,4.0,0.0,4,0.07708535857681764
transfer,classify,CE-largest,CORnet_Z,8,0.0,0.5945568736915562,1433,0.638810069581399
transfer,classify,CE-largest,CORnet_Z,8,1.0,0.4746376811594203,276,0.49099115694246376
transfer,classify,CE-largest,CORnet_Z,8,2.0,0.48,25,0.34317224430352855
transfer,classify,CE-largest,CORnet_Z,8,3.0,0.16666666666666666,6,0.19535333166459334
transfer,classify,CE-largest,CORnet_Z,8,4.0,0.0,4,0.04753441902565814
transfer,classify,CE-random,CORnet_Z,8,0.0,0.6113049546406141,1433,0.6178829328357455
transfer,classify,CE-random,CORnet_Z,8,1.0,0.5144927536231884,276,0.5278545705775864
transfer,classify,CE-random,CORnet_Z,8,2.0,0.48,25,0.4378262083194273
transfer,classify,CE-random,CORnet_Z,8,3.0,0.3333333333333333,6,0.3477978460612683
transfer,classify,CE-random,CORnet_Z,8,4.0,0.25,4,0.2577694838031092
initialize,classify,CE-largest,VGG16,1,0.0,0.4026517794836008,1433,0.4247379699019995
initialize,classify,CE-largest,VGG16,1,1.0,0.26811594202898553,276,0.33611242376892514
initialize,classify,CE-largest,VGG16,1,2.0,0.4,25,0.24748687763585073
initialize,classify,CE-largest,VGG16,1,3.0,0.16666666666666666,6,0.15886133150277632
initialize,classify,CE-largest,VGG16,1,4.0,0.0,4,0.07023578536970193
transfer,classify,CE-largest,VGG16,1,0.0,0.8988136775994418,1433,0.8734657402631553
transfer,classify,CE-largest,VGG16,1,1.0,0.7681159420289855,276,0.7880924987610871
transfer,classify,CE-largest,VGG16,1,2.0,0.68,25,0.702719257259019
transfer,classify,CE-largest,VGG16,1,3.0,0.6666666666666666,6,0.6173460157569508
transfer,classify,CE-largest,VGG16,1,4.0,0.5,4,0.5319727742548827
transfer,classify,CE-random,VGG16,1,0.0,0.8883461270062806,1433,0.8428651304145554
transfer,classify,CE-random,VGG16,1,1.0,0.7608695652173914,276,0.8166874677629782
transfer,classify,CE-random,VGG16,1,2.0,0.72,25,0.7905098051114011
transfer,classify,CE-random,VGG16,1,3.0,0.8333333333333334,6,0.764332142459824
transfer,classify,CE-random,VGG16,1,4.0,0.75,4,0.7381544798082469
initialize,classify,CE-largest,VGG16,2,0.0,0.38799720865317516,1433,0.42180705573591454
initialize,classify,CE-largest,VGG16,2,1.0,0.26811594202898553,276,0.33318150960284015
initialize,classify,CE-largest,VGG16,2,2.0,0.4,25,0.24455596346976574
initialize,classify,CE-largest,VGG16,2,3.0,0.16666666666666666,6,0.15593041733669133
initialize,classify,CE-largest,VGG16,2,4.0,0.0,4,0.06730487120361694
transfer,classify,CE-largest,VGG16,2,0.0,0.8932309839497558,1433,0.9005810855911893
transfer,classify,CE-largest,VGG16,2,1.0,0.782608695652174,276,0.8152078440891212
transfer,classify,CE-largest,VGG16,2,2.0,0.64,25,0.729834602587053
transfer,classify,CE-largest,VGG16,2,3.0,0.8333333333333334,6,0.6444613610849849
transfer,classify,CE-largest,VGG16,2,4.0,0.5,4,0.5590881195829167
transfer,classify,CE-random,VGG16,2,0.0,0.886950453593859,1433,0.8077454160219262
transfer,classify,CE-random,VGG16,2,1.0,0.75,276,0.781567753370349
transfer,classify,CE-random,VGG16,2,2.0,0.64,25,0.755390090718772
transfer,classify,CE-random,VGG16,2,3.0,0.5,6,0.7292124280671948
transfer,classify,CE-random,VGG16,2,4.0,1.0,4,0.7030347654156177
initialize,classify,CE-largest,VGG16,3,0.0,0.38939288206559663,1433,0.42411517592564496
initialize,classify,CE-largest,VGG16,3,1.0,0.3115942028985507,276,0.3354896297925706
initialize,classify,CE-largest,VGG16,3,2.0,0.2,25,0.2468640836594962
initialize,classify,CE-largest,VGG16,3,3.0,0.3333333333333333,6,0.1582385375264218
initialize,classify,CE-largest,VGG16,3,4.0,0.0,4,0.06961299139334742
transfer,classify,CE-largest,VGG16,3,0.0,0.8967201674808095,1433,0.9100035599785591
transfer,classify,CE-largest,VGG16,3,1.0,0.7862318840579711,276,0.8246303184764909
transfer,classify,CE-largest,VGG16,3,2.0,0.68,25,0.7392570769744228
transfer,classify,CE-largest,VGG16,3,3.0,0.8333333333333334,6,0.6538838354723546
transfer,classify,CE-largest,VGG16,3,4.0,0.5,4,0.5685105939702865
transfer,classify,CE-random,VGG16,3,0.0,0.8981158408932309,1433,0.8171668992789016
transfer,classify,CE-random,VGG16,3,1.0,0.782608695652174,276,0.7909892366273246
transfer,classify,CE-random,VGG16,3,2.0,0.56,25,0.7648115739757474
transfer,classify,CE-random,VGG16,3,3.0,0.8333333333333334,6,0.7386339113241703
transfer,classify,CE-random,VGG16,3,4.0,0.75,4,0.7124562486725932
initialize,classify,CE-largest,VGG16,4,0.0,0.44173063503140264,1433,0.42090156709851645
initialize,classify,CE-largest,VGG16,4,1.0,0.2898550724637681,276,0.33227602096544206
initialize,classify,CE-largest,VGG16,4,2.0,0.32,25,0.24365047483236765
initialize,classify,CE-largest,VGG16,4,3.0,0.16666666666666666,6,0.15502492869929324
initialize,classify,CE-largest,VGG16,4,4.0,0.0,4,0.06639938256621886
transfer,classify,CE-largest,VGG16,4,0.0,0.8918353105373342,1433,0.9126497769956613
transfer,classify,CE-largest,VGG16,4,1.0,0.8043478260869565,276,0.8272765354935931
